A-0.6	Accessible Canada Act
SI-2002-60	(LongTitle) Remission Order Concerning Interest Accruing on Certain Unemployment Insurance Overpayments
SI-2002-61	(LongTitle) Gross Revenue Insurance Program Account for the Province of Alberta Remission Order
SI-2002-62	(LongTitle) Gross Revenue Insurance Plan Account for the Province of Manitoba Remission Order
SI-2002-65	(LongTitle) National Parks of Canada Land Rents Remission Order, No. 3
SI-2002-75	(LongTitle) Proclamation Establishing Electoral Boundaries Commissions
SI-2002-96	(LongTitle) Supreme Court of Newfoundland and Labrador — Court of Appeal Criminal Appeal Rules (2002)
SI-2002-9	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake, N.W.T.)
SI-2003-103	(LongTitle) Remission Order Concerning Certain Passport Services Fees and Consular Services Fees
SI-2003-107	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Nành’Geenjit Gwitr’it Tigwaa’in/Working for the Land: Gwich’in Land Use Plan), N.W.T.
SI-2003-112	(LongTitle) Non-signatory Yukon First Nations Remission Order
SI-2003-119	(LongTitle) Proclamation Giving Notice that the Protocol Amending the Convention between Canada and Australia Came into Force on December 18, 2002
SI-2003-122	(LongTitle) Saskatchewan Indian Federated College Remission Order, 2003
SI-2003-124	(LongTitle) Alexander First Nation Treaty Land Entitlement Remission Order
SI-2003-130	(LongTitle) Order Designating the Minister of Health as Minister for Purposes of that Act in Respect of Physical Activity and the Minister of Canadian Heritage as Minister for Purposes of that Act in Respect of Sport
SI-2003-133	(LongTitle) Camp Ipperwash Indian Settlement Remission Order, 2003
SI-2003-134	(LongTitle) Labrador Innu Settlements Remission Order, 2003
SI-2003-146	(LongTitle) Order Directing that Certain Documents be Discontinued
SI-2003-148	Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Deh Cho First Nations, N.W.T.)
SI-2003-149	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in Nunavut (The Nunavik Marine Region, Nunavut)
SI-2003-154	(LongTitle) Proclamation Declaring the Representation Order to be in Force Effective on the First Dissolution of Parliament that Occurs after August 25, 2004
SI-2003-155	(LongTitle) Proclamation Giving Notice that the Interim Agreement on Social Security between Canada and Israel Comes Into Force on September 1, 2003
SI-2003-156	(LongTitle) Order Declaring that all Provisions of Part X of the Financial Administration Act Apply to Parc Downsview Park Inc.
SI-2003-159	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and the Republic of Hungary Comes Into Force on October 1, 2003
SI-2003-164	(LongTitle) Accredited ICAO Missions Remission Order (Part IX of the Excise Tax Act)
SI-2003-166	(LongTitle) Coin-operated Devices (Streamlined Accounting Users) Remission Order
SI-2003-171	(LongTitle) Reservation to the Crown Waiver Order (Shell Lake, N.W.T.)
SI-2003-173	(LongTitle) Proclamation Giving Notice that the Supplementary Agreement to the Agreement on Social Security between Canada and the Federal Republic of Germany Comes Into Force on December 1, 2003
SI-2003-188	(LongTitle) Proclamation Designating July 28 of Every Year as “A Day of Commemoration of the Great Upheaval”, Commencing on July 28, 2005
SI-2003-202	(LongTitle) Order Transferring from the Minister of Social Development to the Minister of Human Resources and Skills Development the Control and Supervision of the Department of Human Resources and Skills Development
SI-2003-203	(LongTitle) Order Transferring Certain Portions of the Department of Human Resources Development to the Department of Human Resources and Skills Development
SI-2003-204	(LongTitle) Order Transferring from the Minister of Social Development to the Minister of Human Resources and Skills Development the Powers, Duties and Functions Relating to the Canada Millennium Scholarships Foundation
SI-2003-208	(LongTitle) Order Transferring from the Minister of Foreign Affairs to the Minister of International Trade the Control and Supervision of the Department of International Trade
SI-2003-209	(LongTitle) Order Transferring Certain Portions of the Department of Foreign Affairs to the Department of International Trade
SI-2003-210	(LongTitle) Order Transferring Certain Portions of the Department of Industry to the Department of International Trade
SI-2003-214	(LongTitle) Order Transferring from the Minister of Citizenship and Immigration to the Deputy Prime Minister and Minister of Public Safety and Emergency Preparedness the Control and Supervision of the Canada Border Services Agency
SI-2003-215	(LongTitle) Order Transferring Certain Portions from the Department of Citizenship and Immigration to the Canada Border Services Agency
SI-2003-216	(LongTitle) Order Transferring Certain Portions of the Canada Customs and Revenue Agency to the Canada Border Services Agency
SI-2003-217	(LongTitle) Order Transferring Certain Portions of the Operations Branch of the Canadian Food Inspection Agency to the Canada Border Services Agency
SI-2003-221	(LongTitle) Order Transferring from the President of the Treasury Board to the President of the Queen’s Privy Council for Canada the Control and Supervision of the Public Service Human Resources Management Agency of Canada
SI-2003-222	(LongTitle) Order Transferring Portions of the Treasury Board Secretariat to the Public Service Human Resources Management Agency of Canada
SI-2003-226	(LongTitle) Order Transferring from the Minister of Canadian Heritage to the Minister of the Environment the Control and Supervision of the Parks Canada Agency
SI-2003-227	(LongTitle) Order Transferring from the Minister of Industry to the Minister of Environment the Control and Supervision of the Office of Infrastructure of Canada
SI-2003-228	(LongTitle) Order Transferring from the Minister of Public Works and Government Services to the President of the Queen’s Privy Council for Canada the Control and Supervision of the Office of Indian Residential Schools Resolution
SI-2003-229	(LongTitle) Order Transferring from the Department of National Defence to the Department of the Solicitor General the Control and Supervision of the Office of Critical Infrastructure Protection and Emergency Preparedness
SI-2003-230	(LongTitle) Order Transferring from the Department of Justice to the Department of the Solicitor General the Control and Supervision of the National Crime Prevention Centre
SI-2003-231	(LongTitle) Order Transferring from the Department of Canadian Heritage to the Department of Human Resources Development the Control and Supervision of the Voluntary Sector Affairs Directorate
SI-2003-232	(LongTitle) Order Transferring from the Treasury Board Secretariat to the Department of Public Works and Government Services Certain Portions of the Chief Information Officer Branch of the Treasury Board Secretariat
SI-2003-233	(LongTitle) Order Transferring from the Department of Fisheries and Oceans to the Department of Transport of Certain Portions of the Directorate-General of Maritime Programs
SI-2003-240	(LongTitle) Order Transferring from the Minister of Transport to the Minister of National Revenue the Control and Supervision of the Royal Canadian Mint and the Powers, Duties and Functions under the Royal Canadian Mint Act
SI-2003-244	(LongTitle) Order Designating the Minister of Canadian Heritage as Minister for Purposes of the Act
SI-2003-2	(LongTitle) Controlled Access Zone Order (Halifax, Esquimalt and Nanoose Harbours)
SI-2003-36	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Subsurface Lands in the Northwest Territories
SI-2003-38	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands (Tuktut Nogait National Park, Northwest Territories and Nunavut)
SI-2003-42	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and Sweden Comes into Force on April 1, 2003
SI-2003-4	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and Australia Comes into Force on January 1, 2003
SI-2003-58	(LongTitle) Canada Gazette Publication Order
SI-2003-5	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and the Czech Republic Comes into Force on January 1, 2003
SI-2003-6	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security between Canada and the Slovak Republic Comes into Force on January 1, 2003
SI-2003-93	(LongTitle) Order Authorizing the Minister of the Environment to Exercise, with the Concurrence of the Minister of National Defence, the Administration of Certain Public Lands
SI-2004-100	(LongTitle) Order Transferring from the Office of Infrastructure of Canada to the Department of Human Resources and Skills Development the Control and Supervision of the Crown Corporations Secretariat Relating to the Canada Mortgage and Housing Corporation
SI-2004-101	(LongTitle) Order Transferring from the Minister of Industry to the Minister of the Economic Development Agency of Canada for the Regions of Quebec and Minister Responsible for the Francophonie the Control and Supervision of the Agency and Ordering the Minister to Preside Over the Agency
SI-2004-102	(LongTitle) Order Transferring from the Minister of the Environment to the Minister of State (Infrastructure and Communities) the Control and Supervision of the Office of Infrastructure of Canada and Ordering the Minister to Preside Over the Office
SI-2004-103	(LongTitle) Order Transferring from the Privy Council Office to the Office of Infrastructure of Canada the Control and Supervision of the Cities Secretariat
SI-2004-109	(LongTitle) Direction Applying the Auditor General Act Sustainable Development Strategy Requirements to Certain Departments
SI-2004-112	(LongTitle) Order Transferring from the Department of Canadian Heritage to the Parks Canada Agency the Control and Supervision of the Historic Places Policy Group and from the Minister of Canadian Heritage to the Minister of the Environment the Powers, Duties and Functions of the Department of Canadian Heritage Act Relating to Certain Programs
SI-2004-122	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands (Ukkusiksalik National Park, Nunavut)
SI-2004-123	(LongTitle) Order Transferring from the Department of Health to the Public Health Agency of Canada the Control and Supervision of the Population and Public Health Branch and Ordering the Minister of Health to Preside Over the Agency
SI-2004-132	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in Nunavut (Northern Bathurst Island National Park, Nunavut)
SI-2004-133	(LongTitle) Northern Pipeline Agency Cost Recovery Charge Remission Order, 2004
SI-2004-134	(LongTitle) Rules of the Provincial Court of Newfoundland and Labrador in Criminal Proceedings
SI-2004-135	(LongTitle) Order Transferring to the Department of Citizenship and Immigration the Control and Supervision of Certain Portions within the Canada Border Services Agency and Transferring from the Deputy Minister and Minister of Public Safety and Emergency Preparedness to the Minister of Citizenship and Immigration Certain Powers, Duties and Functions
SI-2004-136	(LongTitle) Order Transferring to the Canada Border Services Agency the Control and Supervision of Certain Portions in the Department of Citizenship and Immigration
SI-2004-138	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2004-13	(LongTitle) Order Designating the Commission of Inquiry into the Actions of Canadian Officials in Relation to Maher Arar as a Department and Designating the Prime Minister as Appropriate Minister with Respect to the Commission
SI-2004-148	(LongTitle) Certain Hidden Valley Golf Resort Association Members Remission Order
SI-2004-14	(LongTitle) Order Transferring from Communication Canada to the Privy Council Office the Control and Supervision of Certain Portions in Communication Canada
SI-2004-153	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in Nunavut (the Eeyou Marine Region, Nunavut)
SI-2004-155	(LongTitle) Order Recommending that Each Entity Listed as of July 23, 2004, in the Regulations Establishing a List of Entities Remain a Listed Entity
SI-2004-164	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between the Government of Canada and the Government of the Republic of Turkey Comes Into Force on January 1, 2005
SI-2004-16	(LongTitle) Order Amalgamating and Combining Communication Canada with the Department of Public Works and Government Services
SI-2004-34	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between Canada and the Kingdom of the Netherlands will be in force on April 1, 2004
SI-2004-35	(LongTitle) Order Transferring to the Department of Transport Certain Portions of the Public Service in the Department of Fisheries and Oceans and of the Powers, Duties and Functions of the Minister of Fisheries and Oceans under certain paragraphs of the Canada Shipping Act
SI-2004-36	(LongTitle) Order Transferring from the Department of the Environment to the Office of Infrastructure of Canada the Responsibility of the Canada Mortgage and Housing Corporation, Canada Lands Company Limited and Queens Quay West Land Corporation
SI-2004-41	(LongTitle) Order Respecting the Remission of Equalization Overpayments Made to Certain Provinces under the Federal-Provincial Fiscal Arrangements Act
SI-2004-43	(LongTitle) Order Transferring Certain Portions of the Public Service Commission to the Canada School of Public Service
SI-2004-44	(LongTitle) Order Transferring Certain Portions of the Public Service Commission to the Public Service Human Resources Management Agency of Canada
SI-2004-48	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Species at Risk Act
SI-2004-55	(LongTitle) Quebec Gross Revenue Insurance Program Conditional Remission Order
SI-2004-6	(LongTitle) Order Transferring from the Treasury Board to the Department of Public Works and Government Services the Control and Supervision of the Government Travel Modernization Office
SI-2004-7	(LongTitle) Order transfering from the Department of Transport to Canada Customs and Revenue Agency the Control and Supervision of the Royal Canadian Mint and Canada Post Corporation
SI-2004-86	(LongTitle) Order Transferring from the Privy Council Office to the Department of Indian Affairs and Northern Development the Control and Supervision of the Aboriginal Affairs Secretariat
SI-2004-87	(LongTitle) Order Authorizing the Minister of Indian Affairs and Northern Development to Act as Federal Interlocutor for Métis and Non-status Indians
SI-2004-88	(LongTitle) Order Transferring from the President of the Queen’s Privy Council for Canada to the Deputy Prime Minister and Minister of Public Safety and Emergency Preparedness the Control and Supervision of the Office of Indian Residential Schools Resolution of Canada and Ordering the Deputy Prime Minister to Preside Over the Office
SI-2004-8	(LongTitle) Order transferring from the Department of Transport to the Department of the Environment the Control and Supervision of the Canada Mortgage and Housing Corporation, Canada Lands Company Limited and Queens Quay West Land Corporation
SI-2004-90	(LongTitle) Order Transferring from the President of the Queen’s Privy Council for Canada to the President of the Treasury Board the Control and Supervision of the Public Service Human Resources Management Agency of Canada and Ordering the President of the Treasury Board to Preside Over the Agency
SI-2005-106	(LongTitle) Republic of Cameroon Remission Order
SI-2005-113	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Sahoyúé — ʔehdacho (Grizzly Bear Mountain and Scented Grass Hills), National Historic Site, N.W.T.)
SI-2005-114	(LongTitle) List of Pest Control Product Formulants and Contaminants of Health or Environmental Concern
SI-2005-115	(LongTitle) Order Acknowledging Receipt of the Assessment Done Pursuant to Subsection 23(1) of the Act
SI-2005-118	(LongTitle) Public Service Official Languages Exclusion Approval Order
SI-2005-120	(LongTitle) Order Setting Out the Respective Responsibilities of the Minister of Citizenship and Immigration and the Minister of Public Safety and Emergency Preparedness Under the Act
SI-2005-124	(LongTitle) Order Designating the Minister of Canadian Heritage for Purposes of Section 23 of the Act
SI-2005-125	(LongTitle) Order Designating the Minister of Canadian Heritage for Purposes of Section 110 of the Act
SI-2005-127	(LongTitle) Rules of the Municipal Courts
SI-2005-128	(LongTitle) McIntyre Lands Income Tax Remission Order
SI-2005-17	(LongTitle) Order Designating the Minister of Canadian Heritage as Minister for Purposes of the Act
SI-2005-2	(LongTitle) Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species
SI-2005-48	(LongTitle) Order Transferring from the Department of Natural Resources to the Department of the Environment the Control and Supervision of the Large Final Emitters Group
SI-2005-50	(LongTitle) Order Directing that Certain Documents be Discontinued
SI-2005-55	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Giant Mine)
SI-2005-59	(LongTitle) Electrolux Remission Order
SI-2005-65	(LongTitle) Proclamation Requesting the People of Canada to Observe June 23 of Every Year as a National Day of Remembrance for Victims of Terrorism
SI-2005-71	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act  
SI-2005-72	(LongTitle) Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species
SI-2005-73	(LongTitle) Order Transferring Functions from the Department of Human Resources Development to the Canada Customs and Revenue Agency of the National Collection Services and of the Collections Litigation and Advisory Services
SI-2005-83	(LongTitle) Order Transferring from the Department of Public Works and Government Services to the Department of Human Resources and Skills Development the Control and Supervision of the Public Access Programs Sector
SI-2005-86	(LongTitle) Proclamation Giving Notice of the Coming into Force on October 6, 2004 of the Convention Between Canada and Belgium for the Avoidance of Double Taxation
SI-2005-87	(LongTitle) Proclamation Giving Notice of the Coming into Force on December 31, 2004 of the Convention Between Canada and Romania for the Avoidance of Double Taxation
SI-2005-8	(LongTitle) Reservation to the Crown Waiver Order (Great Slave Lake)
SI-2005-91	(LongTitle) Proclamation Announcing the Appointment of the Governor General
SI-2005-9	(LongTitle) Reservation to the Crown Waiver Order (Bed of Great Slave Lake)
SI-2006-100	(LongTitle) Remission Order Concerning Certain Expenses Incurred as a Result of the Tsunami Disaster of December 26, 2004 in South and Southeast Asia
SI-2006-101	(LongTitle) Order Transferring from the Privy Council Office to the Public Service Human Resources Management Agency of Canada the Control and Supervision of the Office of the Senior Advisor Responsible for Diversity and Special Projects
SI-2006-109	(LongTitle) Order Respecting Ex-Gratia Payments to Chinese Head Tax Payers
SI-2006-10	(LongTitle) Order Amalgamating the Department of Social Development and the Department of Human Resources and Skills Development under the Authority of the Minister and the Deputy Minister
SI-2006-110	(LongTitle) Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species
SI-2006-11	(LongTitle) Order Amalgamating and Combining the Department of International Trade and the Department of Foreign Affairs and International Trade under the Minister and the Deputy Minister of Foreign Affairs
SI-2006-121	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between Canada and the Republic of Estonia Comes Into Force on November 1, 2006
SI-2006-122	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between Canada and the Republic of Latvia Comes Into Force on November 1, 2006
SI-2006-123	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between Canada and the Republic of Lithuania Comes Into Force on November 1, 2006
SI-2006-124	(LongTitle) Valley Gospel Mission Remission Order
SI-2006-128	(LongTitle) Order Designating the Minister of Health as Appropriate Minister with Respect to the Assisted Human Reproduction Agency of Canada for Purposes of the Act
SI-2006-133	(LongTitle) Order Recommending that Each Entity Listed as of July 23, 2006, in the Regulations Establishing a List of Entities Remain a Listed Entity
SI-2006-134	(LongTitle) Order Respecting Ex Gratia Payments to Veterans Involved in Chemical Warfare Agent Testing
SI-2006-135	(LongTitle) Order Transferring from the Department of Industry to the Department of Indian Affairs and Northern Development the Control and Supervision of Aboriginal Business Canada and First Nations SchoolNet and Transferring from the Minister of Industry to the Minister of Indian Affairs and Northern Development the Powers, Duties and Functions Relating to the National Aboriginal Economic Development Board
SI-2006-137	(LongTitle) Order Respecting Ex-Gratia Payments to Persons who were in Conjugal Relationships with now Deceased Chinese Head Tax Payers or to Designated Beneficiaries
SI-2006-141	(LongTitle) Order Governing the Grant of the Memorial Cross (Canadian Forces)
SI-2006-142	(LongTitle) Rules of the Court of Appeal of Quebec in Criminal Matters
SI-2006-144	(LongTitle) Order Designating the Internal Inquiry into the Actions of Canadian Officials in Relation to Abdullah Almalki, Ahmad Abou-Emaati and Muayyed Nureddin as a Department for Purposes of the Act and the Prime Minister as Appropriate Minister
SI-2006-16	(LongTitle) Order Transferring from the Minister of Industry to the Registrar of Lobbyists the Control and Supervision of the Office of the Registrar of Lobbyists
SI-2006-17	(LongTitle) Order Designating the Registrar of the Office of the Registrar of Lobbyists as Deputy Head
SI-2006-18	(LongTitle) Order Designating the Office of the Registrar of Lobbyists as a Department and the Registrar as Deputy Head
SI-2006-22	(LongTitle) Order Transferring from the Minister of State (Infrastructure and Communities) to the Minister of Transport the Control and Supervision of the Office of Infrastructure of Canada
SI-2006-23	(LongTitle) Order Designating the Minister of Transport as Minister for Purposes of the Act
SI-2006-26	(LongTitle) Order Designating the Minister of Transport as Appropriate Minister for the Queens Quay West Land Corporation for Purposes of the Act
SI-2006-27	(LongTitle) Order Transferring from the Minister of National Revenue to the Minister of Transport the Control and Supervision of the Royal Canadian Mint
SI-2006-28	(LongTitle) Order Designating the Minister of Transport as Minister for Purposes of the Act
SI-2006-29	(LongTitle) Order Transferring from Canada Revenue Agency to the Department of Transport the Control and Supervision of the Royal Canadian Mint and the Canada Post Corporation
SI-2006-30	(LongTitle) Order Transferring from the Office of Infrastructure of Canada to the Department of Transport the Control and Supervision of the Canada Lands Company Limited and the Queens Quay West Land Corporation
SI-2006-31	(LongTitle) Order Designating the Minister of Transport as Minister for Purposes of the Act
SI-2006-32	(LongTitle) Order Designating the Minister of Transport as Appropriate Minister with Respect to the National Capital Commission for Purposes of the Act
SI-2006-37	(LongTitle) Order Designating the Leader of the Government in the House of Commons as Minister for Purposes of the Act
SI-2006-38	(LongTitle) Order Designating the Leader of the Government in the House of Commons as Minister for Purposes of the Act
SI-2006-39	(LongTitle) Order Designating the Leader of the Government in the House of Commons as Responsible Minister for Purposes of the Electoral Boundaries Readjustment Suspension Act, 1994
SI-2006-40	(LongTitle) Order Designating the Leader of the Government in the House of Commons as Responsible Minister for Purposes of the Referendum Act
SI-2006-45	(LongTitle) Order Transferring from Privy Council Office to the Department of Canadian Heritage the Control and Supervision of the Official Languages Secretariat
SI-2006-46	(LongTitle) Order Transferring from the Prime Minister to the President of the Queen’s Privy Council for Canada the Control and Supervision of the Canadian Intergovernmental Conference Secretariat
SI-2006-47	(LongTitle) Order Tranferring from the Minister of Public Safety and Emergency Preparedness to the Minister of Canadian Heritage the Control and Supervision of the Office of Indian Residential Schools Resolution of Canada
SI-2006-4	(LongTitle) Order Designating the Position of Deputy Minister of National Defence to the Position of Deputy Head in Respect of the Communications Security Establishment
SI-2006-51	(LongTitle) Order Transferring from the Privy Council Office to the Department of Indian Affairs and Northern Development the Control and Supervision of the Aboriginal Affairs Secretariat
SI-2006-60	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in Nunavut (The Nunavik Marine Region, Nunavut)
SI-2006-61	(LongTitle) Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species
SI-2006-62	(LongTitle) Order Designating the Prime Minister as Presiding Minister for the Public Appointments Commission Secretariat
SI-2006-63	(LongTitle) Order Designating the Executive Director of the Public Appointments Commission Secretariat as Deputy Head
SI-2006-64	(LongTitle) Order Designating the Public Appointments Commission Secretariat as a Department and the Executive Director as Deputy Head
SI-2006-69	(LongTitle) Reservation to the Crown Waiver Order (Hay River, N.W.T.)
SI-2006-71	(LongTitle) Order Designating the Commission of Inquiry into the Investigation of the Bombing of Air India Flight 182 as a Department and the Prime Minister as Appropriate Minister
SI-2006-72	(LongTitle) Order Transferring from the Privy Council Office to the Department of Industry the Control and Supervision of the National Science Advisor Secretariat
SI-2006-73	(LongTitle) Order Transferring from the Privy Council Office to the Department of Public Safety and Emergency Preparedness the Control and Supervision of the Borders Task Force
SI-2006-74	(LongTitle) Order Transferring from the Privy Council Office to the Department of Human Resources and Skills Development the Control and Supervision of the Policy Research Initiative
SI-2006-75	(LongTitle) Order Transferring from the Privy Council Office to the Treasury Board the Control and Supervision of the Regulatory Affairs and Orders in Council Secretariat Except Orders in Council Division
SI-2006-76	(LongTitle) Order Transferring from the Privy Council Office to the Treasury Board the Control and Supervision of the Regional Offices in the Communications and Consultations Secretariat
SI-2006-77	(LongTitle) Acquisition of Permanent Resident Status Fee Remission Order
SI-2006-79	(LongTitle) Firearms Fees Remission Order (Licenses)
SI-2006-80	(LongTitle) Order Transferring from the Canadian Firearms Centre to the Royal Canadian Mounted Police the Control and Supervision of the Canadian Firearms Centre
SI-2006-85	(LongTitle) Order Transferring from the Minister of Canadian Heritage to the Minister of Indian Affairs and Northern Development the Control and Supervision of the Office of Indian Residential Schools Resolution of Canada and ordering the Minister of Indian Affairs and Northern Development to Preside Over the Office
SI-2006-89	(LongTitle) Office of the Governor-General’s Secretary Exclusion Approval Order
SI-2006-97	(LongTitle) Order Authorizing the Minister of Transport, Infrastructure and Communities to Enter Into a Contribution Agreement with Harbourfront Corporation (1990)
SI-2006-98	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Salt River First Nation, N.W.T.)
SI-2007-101	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (East Arm of Great Slave Lake, N.W.T.)
SI-2007-102	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Ts’ude niline Tu’eyeta (Ramparts River and Wetlands))
SI-2007-103	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Akaitcho Dene First Nations, N.W.T.)
SI-2007-115	(LongTitle) Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species
SI-2007-13	(LongTitle) Softwood Lumber Products Charge on Duty Deposit Refunds Remission Order, No. 1
SI-2007-14	(LongTitle) Softwood Lumber Products Charge on Duty Deposit Refunds Remission Order, No. 2
SI-2007-31	(LongTitle) Rainy River First Nations Settlement Agreement Remission Order
SI-2007-37	(LongTitle) Citizenship Fees Remission Order
SI-2007-57	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2007-61	(LongTitle) Prince Albert National Park of Canada Land Rents Remission Order
SI-2007-68	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Lands in the Northwest Territories (Deh Cho First Nations, N.W.T.)
SI-2007-69	(LongTitle) Withdrawal of Certain Lands in the Northwest Territories (Edéhzhie (Horn Plateau), N.W.T.) from Disposal Order
SI-2007-80	(LongTitle) Withdrawal of Certain Lands in the Northwest Territories (Nahanni National Park Reserve of Canada) from Disposal Order
SI-2007-87	(LongTitle) Testing of Unregistered US Military Herbicides, including Agent Orange, at CFB Gagetown Ex Gratia Payments Order
SI-2008-101	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Nahanni National Park Reserve of Canada) Order
SI-2008-102	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Edéhzhíe (Horn Plateau)) Order
SI-2008-103	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Dehcho First Nations) Order
SI-2008-104	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands In Nunavut (Eeyou Marine Region) Order
SI-2008-136	(LongTitle) Order Designating the Minister of Citizenship and Immigration as Minister for Purposes of the Act
SI-2008-143	(LongTitle) Order Recommending that Each Entity Listed as of July 23, 2008, in the Regulations Establishing a List of Entities Remain a Listed Entity
SI-2008-148	(LongTitle) Order Governing the Grant of the Memorial Cross
SI-2008-15	(LongTitle) Order Designating the Minister of Industry as Appropriate Minister with Respect to the Natural Sciences and Engineering Research Council of Canada for Purposes of the Act
SI-2008-16	(LongTitle) Order Designating the Minister of Industry as Appropriate Minister with Respect to the Social Sciences and Humanities Research Council of Canada for Purposes of the Act
SI-2008-20	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Nành’ Geenjit Gwitr’it Tigwaa’in/Working for the Land: Gwich’in Land Use Plan), N.W.T.
SI-2008-23	(LongTitle) Certain Foreign Marine Carriers Remission Order
SI-2008-25	(LongTitle) Proclamation Giving Notice that the Agreement on Social Security Between Canada and Japan Comes into Force on March 1, 2008
SI-2008-26	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Tracts of Territorial Lands (Tuktut Nogait National Park, in the Northwest Territories and Nunavut)
SI-2008-27	(LongTitle) Order Respecting the Withdrawal from Disposal of Certain Tracts of Territorial Lands in the Northwest Territories (Nááts’ihch’oh National Park Reserve)
SI-2008-28	(LongTitle) Sale of the Digby Fisherman’s Wharf Remission Order
SI-2008-53	(LongTitle) Order Declaring that all Provisions of Part X of the Financial Administration Act, Other Than Section 90, Apply to PPP Canada Inc.
SI-2008-55	(LongTitle) Order Designating the Minister of Human Resources and Skills Development as Minister for Purposes of the Act
SI-2008-69	(LongTitle) Overpayments of Canada Education Savings Grants Remission Order
SI-2008-70	(LongTitle) Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Act
SI-2008-95	(LongTitle) Order Respecting Ex Gratia Payments to Veterans and Science and Technology Workers Involved in Nuclear Weapons Testing or Nuclear Decontamination
SI-2008-99	(LongTitle) Certain Marine Carriers Remission Order
SI-2009-103	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in Nunavut (Ukkusiksalik National Park) Order
SI-2009-104	(LongTitle) Withdrawal from Disposal of Certain Tracts of Territorial Lands in Nunavut (Northern Bathurst Island National Park) Order
SI-2009-110	(LongTitle) Right of Permanent Residence Fees Remission Order
SI-2009-20	(LongTitle) List of Wildlife Species at Risk (Decision Not To Add or Referral Back to COSEWIC) Order
SI-2009-22	(LongTitle) Rule 64 — Prerogative Writ
SI-2009-23	(LongTitle) Rule 63 — Summary Conviction Appeal
SI-2009-24	(LongTitle) Order Respecting Ex-Gratia Payments to Any Person or Entity that Should Receive those Payments on Behalf of a Deceased Person who was a Chinese Head Tax Payer or who was in a Conjugal Relationship with a Head Tax Payer
SI-2009-3	(LongTitle) Rule 91 — Criminal Appeal
SI-2009-45	(LongTitle) Order Designating the Chairperson of the Indian Residential Schools Truth and Reconciliation Commission as Deputy Head
SI-2009-46	(LongTitle) Order Designating the Indian Residential Schools Truth and Reconciliation Commission as a Department and the Chairperson as the Deputy Head for Purposes of the Act
SI-2009-61	(LongTitle) Certificates of Age and Origin for Distilled Spirits Produced or Packaged in Canada Order
